Zeit,CPU_Prozent,RAM_Nutzung
09:52:57,2.63%,485.9MiB / 1GiB
09:53:00,4.57%,486.4MiB / 1GiB
09:53:03,99.71%,487.8MiB / 1GiB
09:53:06,99.74%,487.2MiB / 1GiB
09:53:08,99.61%,487.1MiB / 1GiB
09:53:11,100.33%,487.1MiB / 1GiB
09:53:14,99.68%,487.1MiB / 1GiB
09:53:17,99.51%,487.1MiB / 1GiB
09:53:19,99.71%,487.1MiB / 1GiB
09:53:22,99.62%,487.1MiB / 1GiB
09:53:25,99.85%,487.1MiB / 1GiB
09:53:27,99.56%,487.1MiB / 1GiB
09:53:30,100.10%,487.1MiB / 1GiB
09:53:33,99.51%,487.6MiB / 1GiB
09:53:36,99.53%,487.2MiB / 1GiB
09:53:38,99.40%,487.2MiB / 1GiB
09:53:41,99.81%,487.2MiB / 1GiB
09:53:44,99.61%,487.2MiB / 1GiB
09:53:47,99.58%,487.2MiB / 1GiB
09:53:49,99.74%,487.2MiB / 1GiB
09:53:52,100.43%,487.2MiB / 1GiB
09:53:55,99.75%,487.2MiB / 1GiB
09:53:57,99.94%,487.2MiB / 1GiB
09:54:00,99.27%,487.2MiB / 1GiB
09:54:03,99.75%,487.6MiB / 1GiB
09:54:05,99.51%,489.4MiB / 1GiB
09:54:08,99.57%,489.2MiB / 1GiB
09:54:11,99.20%,489.2MiB / 1GiB
09:54:14,99.32%,489.2MiB / 1GiB
09:54:17,100.44%,489.2MiB / 1GiB
09:54:19,99.28%,489.2MiB / 1GiB
09:54:22,99.75%,489.2MiB / 1GiB
09:54:25,99.88%,489.2MiB / 1GiB
09:54:27,101.12%,489.2MiB / 1GiB
09:54:30,99.37%,489.2MiB / 1GiB
09:54:33,99.64%,489.5MiB / 1GiB
09:54:36,99.83%,489.8MiB / 1GiB
09:54:38,99.84%,489.5MiB / 1GiB
09:54:41,100.00%,489.3MiB / 1GiB
09:54:44,99.24%,489.4MiB / 1GiB
09:54:47,99.90%,489.4MiB / 1GiB
09:54:49,99.57%,489.3MiB / 1GiB
09:54:52,100.39%,489.3MiB / 1GiB
09:54:55,99.33%,489.3MiB / 1GiB
09:54:57,99.47%,489.3MiB / 1GiB
09:55:00,99.75%,489.3MiB / 1GiB
09:55:03,99.05%,489.9MiB / 1GiB
09:55:06,99.96%,489.4MiB / 1GiB
09:55:08,100.08%,489.4MiB / 1GiB
09:55:11,99.20%,489.4MiB / 1GiB
09:55:14,99.74%,489.4MiB / 1GiB
09:55:17,99.61%,489.4MiB / 1GiB
09:55:19,99.36%,489.4MiB / 1GiB
09:55:22,99.54%,489.4MiB / 1GiB
09:55:25,99.85%,489.4MiB / 1GiB
09:55:27,100.02%,489.4MiB / 1GiB
09:55:30,100.19%,489.4MiB / 1GiB
09:55:33,0.45%,492MiB / 1GiB
09:55:36,1.12%,489.9MiB / 1GiB
09:55:38,0.26%,489.4MiB / 1GiB
