Zeit,CPU_Prozent,RAM_Nutzung
09:24:16,0.26%,472.4MiB / 1GiB
09:24:19,0.35%,472.4MiB / 1GiB
09:24:21,0.16%,472.4MiB / 1GiB
09:24:24,121.34%,477.2MiB / 1GiB
09:24:27,107.68%,482.1MiB / 1GiB
09:24:30,102.19%,482.2MiB / 1GiB
09:24:32,101.14%,481.9MiB / 1GiB
09:24:35,100.28%,481.9MiB / 1GiB
09:24:38,100.67%,481.9MiB / 1GiB
09:24:41,100.52%,482.1MiB / 1GiB
09:24:43,100.60%,481.9MiB / 1GiB
09:24:46,101.47%,482.4MiB / 1GiB
09:24:49,100.39%,482.6MiB / 1GiB
09:24:51,100.68%,482.2MiB / 1GiB
09:24:54,100.46%,482.1MiB / 1GiB
09:24:57,104.31%,483.2MiB / 1GiB
09:25:00,101.24%,482.9MiB / 1GiB
09:25:02,101.10%,483MiB / 1GiB
09:25:05,100.37%,482.8MiB / 1GiB
09:25:08,100.74%,483.1MiB / 1GiB
09:25:10,101.21%,483.3MiB / 1GiB
09:25:13,100.43%,483.2MiB / 1GiB
09:25:16,100.25%,482.9MiB / 1GiB
09:25:19,100.32%,482.9MiB / 1GiB
09:25:21,100.38%,482.9MiB / 1GiB
09:25:24,100.41%,482.9MiB / 1GiB
09:25:27,100.71%,483.8MiB / 1GiB
09:25:30,99.71%,483.3MiB / 1GiB
09:25:32,100.45%,483.3MiB / 1GiB
09:25:35,101.26%,483.6MiB / 1GiB
09:25:38,100.57%,483.4MiB / 1GiB
09:25:40,104.64%,483.6MiB / 1GiB
09:25:43,108.87%,484.6MiB / 1GiB
09:25:46,105.42%,485MiB / 1GiB
09:25:49,100.27%,484.6MiB / 1GiB
09:25:51,100.15%,484.6MiB / 1GiB
09:25:54,100.19%,484.4MiB / 1GiB
09:25:57,101.52%,485.1MiB / 1GiB
09:26:00,100.57%,484.7MiB / 1GiB
09:26:02,100.17%,484.7MiB / 1GiB
09:26:05,100.13%,484.7MiB / 1GiB
09:26:08,100.11%,484.7MiB / 1GiB
09:26:10,100.26%,484.9MiB / 1GiB
09:26:13,109.21%,484.8MiB / 1GiB
09:26:16,121.95%,486MiB / 1GiB
09:26:19,100.39%,485.5MiB / 1GiB
09:26:21,100.12%,485.3MiB / 1GiB
09:26:24,100.24%,485.3MiB / 1GiB
09:26:27,100.34%,486MiB / 1GiB
09:26:30,100.28%,485.6MiB / 1GiB
09:26:32,100.25%,485.6MiB / 1GiB
09:26:35,111.76%,486.7MiB / 1GiB
09:26:38,103.58%,487.1MiB / 1GiB
09:26:41,100.36%,486.8MiB / 1GiB
09:26:43,100.28%,486.5MiB / 1GiB
09:26:46,100.62%,486.5MiB / 1GiB
09:26:49,102.25%,486.5MiB / 1GiB
09:26:51,100.66%,486.5MiB / 1GiB
09:26:54,108.27%,487.4MiB / 1GiB
09:26:58,1.57%,487MiB / 1GiB
09:27:00,0.10%,486.8MiB / 1GiB
09:27:03,0.28%,486.7MiB / 1GiB
09:27:06,0.09%,486.7MiB / 1GiB
09:27:09,0.10%,486.7MiB / 1GiB
09:27:11,0.26%,486.7MiB / 1GiB
